vt_id,vt_app_type,vt_entry_term,satv_use,satm_use,satcomp_use,act_eng,act_math,act_read,act_sci,act_comp,nc1,nc2,nc3,ncav,EQ1_score-rator1,EQ1_score-rator2,EQ1_score-rator3,EQ1_score-rator4,EQ2_score-rator1,EQ2_score-rator2,EQ2_score-rator3,EQ2_score-rator4,EQ3_score-rator1,EQ3_score-rator2,EQ3_score-rator3,EQ3_score-rator4,EQ4_score-rator1,EQ4_score-rator2,EQ4_score-rator3,EQ4_score-rator4,hs_gpa,college_gpa,vt_major,vt_coll,vt_gpa_1yr,vt_grad_gpa,vt_adm_dec,vt_app_response,enr_after_first_yr,gender,age,ethnic/race,country_citz,residency,state
F1,F,Spring,748,427,1175,33,29,19,24,36,5,12,2,9,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.97,3.17,BIOL,College of Science,2.3,1.82,rejected,Enroll,True,Not Available,24,White,USA,In-State,VA
F2,F,Summer,522,499,1021,29,30,21,28,28,9,2,4,11,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',2.37,2.62,BIOL,Engineering,2.41,2.51,rejected,,True,Male,17,White,India,International,TX
F3,T,,794,763,1557,28,25,30,28,23,5,2,11,11,3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',2.87,2.88,Math,College of Science,3.83,2.71,admitted,No Response,True,Male,17,White,Mexico,In-State,TX
F4,T,Summer,632,414,1046,35,33,20,18,33,6,4,5,4,2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.7,2.1,Engineering,Education,1.57,2.24,rejected,Enroll,False,Not Available,21,White,Canada,In-State,TX
F5,T,,647,795,1442,34,36,24,23,24,2,4,10,9,2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',1.76,1.69,Physics,Education,2.16,2.75,rejected,Enroll,True,Male,29,Hispanics of any race,China,In-State,CA
F6,F,Spring,722,684,1406,27,29,22,28,31,5,10,3,10,3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',2.92,3.54,Computer Science,Engineering,2.94,2.7,admitted,No Response,True,Female,21,Hispanics of any race,China,,
F7,T,,638,532,1170,31,26,21,25,29,3,1,3,12,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',2.07,1.65,Physics,College of Science,1.91,3.27,rejected,Enroll,True,Male,27,Native American,Mexico,In-State,CA
F8,T,Fall,724,628,1352,31,34,19,21,32,7,9,11,1,2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.75,2.56,Computer Science,Education,2.4,2.46,rejected,,False,Female,22,White,USA,International,
F9,T,,416,775,1191,27,32,28,19,31,5,2,2,12,3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.01,2.89,BIOL,Engineering,3.47,2.26,waitlisted,No Response,True,Male,18,Native American,China,International,CA
F10,F,Fall,480,455,935,24,23,34,28,28,4,4,7,1,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',2.14,3.04,Psychology,Engineering,3.24,1.98,rejected,Enroll,True,Female,27,White,Canada,International,TX
